Date,Day of the week,App (Use all CAPITALS),Minutes,Category
8/25,Friday,MESSAGES,176,Social Media
8/25,Friday,SPOTIFY,35,Entertainment
8/25,Friday,SAFARI,13,Entertainment
8/25,Friday,CAMERA,13,Entertainment
8/25,Friday,PHOTOS,10,Education
8/25,Friday,GOOGLE,10,Education
8/25,Friday,PINTEREST,4,Travel
8/26,Saturday,MESSAGES,164,Education
8/26,Saturday,SPOTIFY,49,Entertainment
8/26,Saturday,CAMERA,8,Social Media
8/26,Saturday,PHOTOS,7,Social Media
8/26,Saturday,SAFARI,5,Education
8/27,Sunday,MESSAGES,136,Social Media
8/27,Sunday,MAPS,15,Travel
8/27,Sunday,CAMERA,13,Social Media
8/27,Sunday,SAFARI,13,Education
8/27,Sunday,SPOTIFY,12,Entertainment
8/27,Sunday,PHOTOS,11,Social Media
8/27,Sunday,PINTEREST,11,Entertainment
8/27,Sunday,YOUTUBE,6,Entertainment
8/27,Sunday,GOOGLE,6,Education
8/27,Sunday,PHONE,5,Social Media
8/28,Monday,MESSAGES,97,Social Media
8/28,Monday,SAFARI,56,Education
8/28,Monday,SPOTIFY,56,Entertainment
8/28,Monday,CAMERA,30,Social Media
8/28,Monday,BJSRESTURANT,23,Other
8/28,Monday,PINTEREST,16,Entertainment
8/28,Monday,CALCULATOR,12,Education
8/29,Tuesday,MESSAGES,57,Social Media
8/29,Tuesday,SAFARI,6,Education
8/29,Tuesday,PINTEREST,5,Entertainment
8/29,Tuesday,GMAIL,4,Education
8/29,Tuesday,SPOTIFY,4,Entertainment
8/29,Tuesday,AMCTHEATRES,3,Entertainment
8/30,Wednesday,MESSAGES,63,Social Media
8/30,Wednesday,MAPS,42,Travel
8/30,Wednesday,SAFARI,24,Education
8/30,Wednesday,PINTEREST,14,Entertainment
8/30,Wednesday,DOMINOS,12,Other
8/30,Wednesday,GMAIL,10,Education
8/31,Thursday,MESSAGES,50,Social Media
8/31,Thursday,PINTEREST,38,Entertainment
8/31,Thursday,SPOTIFY,25,Entertainment
8/31,Thursday,YOUTUBE,24,Entertainment
8/31,Thursday,SAFARI,20,Education
8/31,Thursday,GOOGLE,15,Education
8/31,Thursday,MAPS,12,Travel
8/31,Thursday,GMAIL,10,Education
9/1,Friday,MESSAGES,40,Social Media
9/1,Friday,CALCULATOR,30,Education
9/1,Friday,PINTEREST,30,Entertainment
9/1,Friday,SPOTIFY,30,Entertainment
9/1,Friday,GMAIL,15,Education